dataset,missingness_type,missing_rate,imputation_method,n_seeds,root_mean_square_error,root_mean_square_error_std,root_mean_square_error_median,root_mean_square_error_q1,root_mean_square_error_q3,root_mean_square_error_ci_lower,root_mean_square_error_ci_upper,mean_absolute_error,mean_absolute_error_std,mean_absolute_error_median,mean_absolute_error_q1,mean_absolute_error_q3,mean_absolute_error_ci_lower,mean_absolute_error_ci_upper
weather_izmir,missing_completely_at_random,5,random_forest_imputation,9,0.16192294372629024,0.04291471863674431,0.15382174769125634,0.13217807169667825,0.1599041075825656,0.12893577084713836,0.1949101166054421,0.018867675988672686,0.0028500403255070188,0.018357507765024088,0.016494504144586027,0.0206860920459839,0.01667694106330008,0.02105841091404529
weather_izmir,missing_completely_at_random,5,gain_imputation,9,0.24964004445120042,0.04515527556209684,0.2519138434007355,0.2287887403471736,0.2615355251635234,0.2149306270603741,0.2843494618420267,0.036558338231743245,0.007136442750636916,0.03827266283264061,0.02924312298196752,0.04221372581936432,0.03107278273387107,0.042043893729615416
weather_izmir,missing_completely_at_random,5,tabcsdi_imputation,9,0.2192653224448229,0.0427803295210142,0.19762612983942135,0.18969056314285543,0.2449558842309583,0.18638145018453772,0.2521491947051081,0.02655312349485884,0.004617404483283896,0.02625708489260059,0.023837109158122923,0.027283590077772108,0.023003872217404533,0.030102374772313145
weather_izmir,missing_completely_at_random,5,otimpute_imputation,9,0.1765372139385747,0.04597012606365092,0.16086771333678485,0.15593375041757454,0.17783706228163196,0.1412014470056961,0.2118729808714533,0.019672151665655925,0.002611856966973098,0.01966462806384445,0.01815583210866174,0.020516665515764244,0.017664500676855335,0.021679802654456515
weather_izmir,missing_completely_at_random,6,k_nearest_neighbors_imputation,1,0.1762817536136304,0.0,0.1762817536136304,0.1762817536136304,0.1762817536136304,0.1762817536136304,0.1762817536136304,0.023181339664480452,0.0,0.023181339664480452,0.023181339664480452,0.023181339664480452,0.023181339664480452,0.023181339664480452
weather_izmir,missing_completely_at_random,15,k_nearest_neighbors_imputation,1,0.28622784084260017,0.0,0.28622784084260017,0.28622784084260017,0.28622784084260017,0.28622784084260017,0.28622784084260017,0.06341981578156065,0.0,0.06341981578156065,0.06341981578156065,0.06341981578156065,0.06341981578156065,0.06341981578156065
weather_izmir,missing_completely_at_random,8,k_nearest_neighbors_imputation,1,0.21962923877326915,0.0,0.21962923877326915,0.21962923877326915,0.21962923877326915,0.21962923877326915,0.21962923877326915,0.0326929891641118,0.0,0.0326929891641118,0.0326929891641118,0.0326929891641118,0.0326929891641118,0.0326929891641118
weather_izmir,missing_completely_at_random,20,k_nearest_neighbors_imputation,1,0.32910156163846316,0.0,0.32910156163846316,0.32910156163846316,0.32910156163846316,0.32910156163846316,0.32910156163846316,0.08959636312082041,0.0,0.08959636312082041,0.08959636312082041,0.08959636312082041,0.08959636312082041,0.08959636312082041
weather_izmir,missing_completely_at_random,10,constant_imputation,1,0.3493654442150361,0.0,0.3493654442150361,0.3493654442150361,0.3493654442150361,0.3493654442150361,0.3493654442150361,0.07513539348355262,0.0,0.07513539348355262,0.07513539348355262,0.07513539348355262,0.07513539348355262,0.07513539348355262
weather_izmir,missing_completely_at_random,10,mean_imputation,1,0.3501471127631032,0.0,0.3501471127631032,0.3501471127631032,0.3501471127631032,0.3501471127631032,0.3501471127631032,0.0756145897358885,0.0,0.0756145897358885,0.0756145897358885,0.0756145897358885,0.0756145897358885,0.0756145897358885
weather_izmir,missing_completely_at_random,10,median_imputation,1,0.3532253584277345,0.0,0.3532253584277345,0.3532253584277345,0.3532253584277345,0.3532253584277345,0.3532253584277345,0.07525299507158811,0.0,0.07525299507158811,0.07525299507158811,0.07525299507158811,0.07525299507158811,0.07525299507158811
weather_izmir,missing_completely_at_random,10,k_nearest_neighbors_imputation,1,0.2384888148710158,0.0,0.2384888148710158,0.2384888148710158,0.2384888148710158,0.2384888148710158,0.2384888148710158,0.040378046318347446,0.0,0.040378046318347446,0.040378046318347446,0.040378046318347446,0.040378046318347446,0.040378046318347446
weather_izmir,missing_completely_at_random,10,mice_imputation,9,0.32223075467030937,0.05497322840680654,0.312796791072666,0.2880584221628186,0.374272049369822,0.2799745906597697,0.36448691868084904,0.05607654598863153,0.0069412867544334554,0.05657933574923243,0.052396071033232176,0.057790421485244485,0.05074100066884438,0.06141209130841868
weather_izmir,missing_completely_at_random,10,random_forest_imputation,9,0.2267939200392997,0.049149045374679255,0.21780397761685188,0.20413164794892535,0.24952401951494455,0.18901461941418385,0.2645732206644156,0.03865544532018437,0.0056346955454426055,0.03860152160795538,0.03508231638574039,0.04265037346155635,0.034324234910715325,0.04298665572965341
weather_izmir,missing_completely_at_random,10,gain_imputation,9,0.3329422557238464,0.052662894045773116,0.33128273449550805,0.3202602852376319,0.3482047263818642,0.29246197191005585,0.37342253953763693,0.0703056251471966,0.013322966794497449,0.07269143259972734,0.05793830863066027,0.08100285545142462,0.060064686306763634,0.08054656398762956
weather_izmir,missing_completely_at_random,10,tabcsdi_imputation,9,0.32955221921156647,0.06929840804355727,0.2906656807754092,0.2735784809185078,0.37916799814826313,0.2762847473743969,0.38281969104873603,0.05971510992627852,0.016494082558395066,0.05363321510854521,0.049318672035546095,0.05741972612611826,0.047036635730925876,0.07239358412163116
weather_izmir,missing_completely_at_random,10,otimpute_imputation,9,0.2446950121222254,0.05173718163090243,0.23930613314660618,0.20352658914782604,0.24673428604120184,0.20492629386066874,0.2844637303837821,0.04056478039910278,0.004573233754859004,0.040354393428799,0.03886349251494844,0.04250184220852329,0.03704948174911607,0.04408007904908949
weather_izmir,missing_completely_at_random,25,constant_imputation,1,0.516049448878205,0.0,0.516049448878205,0.516049448878205,0.516049448878205,0.516049448878205,0.516049448878205,0.17925689818947324,0.0,0.17925689818947324,0.17925689818947324,0.17925689818947324,0.17925689818947324,0.17925689818947324
weather_izmir,missing_completely_at_random,25,mean_imputation,1,0.5163271174194464,0.0,0.5163271174194464,0.5163271174194464,0.5163271174194464,0.5163271174194464,0.5163271174194464,0.17960294184793577,0.0,0.17960294184793577,0.17960294184793577,0.17960294184793577,0.17960294184793577,0.17960294184793577
weather_izmir,missing_completely_at_random,25,median_imputation,1,0.5223072512875443,0.0,0.5223072512875443,0.5223072512875443,0.5223072512875443,0.5223072512875443,0.5223072512875443,0.179383118371455,0.0,0.179383118371455,0.179383118371455,0.179383118371455,0.179383118371455,0.179383118371455
