dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,n_seeds,wasserstein_distance,wasserstein_distance_std,wasserstein_distance_median,wasserstein_distance_q1,wasserstein_distance_q3,wasserstein_distance_ci_lower,wasserstein_distance_ci_upper,bottleneck_distance,bottleneck_distance_std,bottleneck_distance_median,bottleneck_distance_q1,bottleneck_distance_q3,bottleneck_distance_ci_lower,bottleneck_distance_ci_upper,l2_distance_landscape,l2_distance_landscape_std,l2_distance_landscape_median,l2_distance_landscape_q1,l2_distance_landscape_q3,l2_distance_landscape_ci_lower,l2_distance_landscape_ci_upper,l2_distance_image,l2_distance_image_std,l2_distance_image_median,l2_distance_image_q1,l2_distance_image_q3,l2_distance_image_ci_lower,l2_distance_image_ci_upper
air_quality_and_pollution,missing_completely_at_random,8,k_nearest_neighbors_imputation,vietoris_rips,1,1,4.041203648342622,0.0,4.041203648342622,4.041203648342622,4.041203648342622,4.041203648342622,4.041203648342622,0.009884959071937812,0.0,0.009884959071937812,0.009884959071937812,0.009884959071937812,0.009884959071937812,0.009884959071937812,0.0020505140331606195,0.0,0.0020505140331606195,0.0020505140331606195,0.0020505140331606195,0.0020505140331606195,0.0020505140331606195,686563.3751903796,0.0,686563.3751903796,686563.3751903796,686563.3751903796,686563.3751903796,686563.3751903796
air_quality_and_pollution,missing_completely_at_random,8,k_nearest_neighbors_imputation,vietoris_rips,2,1,2.6331955139044756,0.0,2.6331955139044756,2.6331955139044756,2.6331955139044756,2.6331955139044756,2.6331955139044756,0.008569949030534344,0.0,0.008569949030534344,0.008569949030534344,0.008569949030534344,0.008569949030534344,0.008569949030534344,0.0013472017960210801,0.0,0.0013472017960210801,0.0013472017960210801,0.0013472017960210801,0.0013472017960210801,0.0013472017960210801,1020376.6241836061,0.0,1020376.6241836061,1020376.6241836061,1020376.6241836061,1020376.6241836061,1020376.6241836061
air_quality_and_pollution,missing_completely_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,1,41.8500453384507,0.0,41.8500453384507,41.8500453384507,41.8500453384507,41.8500453384507,41.8500453384507,0.04262219462197333,0.0,0.04262219462197333,0.04262219462197333,0.04262219462197333,0.04262219462197333,0.04262219462197333,0.00018427526814726272,0.0,0.00018427526814726272,0.00018427526814726272,0.00018427526814726272,0.00018427526814726272,0.00018427526814726272,187409.24429081345,0.0,187409.24429081345,187409.24429081345,187409.24429081345,187409.24429081345,187409.24429081345
air_quality_and_pollution,missing_completely_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,1,11.51971346688298,0.0,11.51971346688298,11.51971346688298,11.51971346688298,11.51971346688298,11.51971346688298,0.015193104634877717,0.0,0.015193104634877717,0.015193104634877717,0.015193104634877717,0.015193104634877717,0.015193104634877717,0.0021699006003180286,0.0,0.0021699006003180286,0.0021699006003180286,0.0021699006003180286,0.0021699006003180286,0.0021699006003180286,2289753.5983311064,0.0,2289753.5983311064,2289753.5983311064,2289753.5983311064,2289753.5983311064,2289753.5983311064
air_quality_and_pollution,missing_completely_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,1,6.082526476461723,0.0,6.082526476461723,6.082526476461723,6.082526476461723,6.082526476461723,6.082526476461723,0.008731279631493668,0.0,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.001389647748660912,0.0,0.001389647748660912,0.001389647748660912,0.001389647748660912,0.001389647748660912,0.001389647748660912,3884088.720792009,0.0,3884088.720792009,3884088.720792009,3884088.720792009,3884088.720792009,3884088.720792009
air_quality_and_pollution,missing_completely_at_random,20,k_nearest_neighbors_imputation,vietoris_rips,0,1,29.841935093925535,0.0,29.841935093925535,29.841935093925535,29.841935093925535,29.841935093925535,29.841935093925535,0.016723651359050684,0.0,0.016723651359050684,0.016723651359050684,0.016723651359050684,0.016723651359050684,0.016723651359050684,0.00024710009512018396,0.0,0.00024710009512018396,0.00024710009512018396,0.00024710009512018396,0.00024710009512018396,0.00024710009512018396,260190.86433153469,0.0,260190.86433153469,260190.86433153469,260190.86433153469,260190.86433153469,260190.86433153469
air_quality_and_pollution,missing_completely_at_random,20,k_nearest_neighbors_imputation,vietoris_rips,1,1,9.440712703431407,0.0,9.440712703431407,9.440712703431407,9.440712703431407,9.440712703431407,9.440712703431407,0.011087769024723691,0.0,0.011087769024723691,0.011087769024723691,0.011087769024723691,0.011087769024723691,0.011087769024723691,0.002017322327557849,0.0,0.002017322327557849,0.002017322327557849,0.002017322327557849,0.002017322327557849,0.002017322327557849,1421303.4446248903,0.0,1421303.4446248903,1421303.4446248903,1421303.4446248903,1421303.4446248903,1421303.4446248903
air_quality_and_pollution,missing_completely_at_random,20,k_nearest_neighbors_imputation,vietoris_rips,2,1,5.307807993299072,0.0,5.307807993299072,5.307807993299072,5.307807993299072,5.307807993299072,5.307807993299072,0.008731279631493668,0.0,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.001487726483216752,0.0,0.001487726483216752,0.001487726483216752,0.001487726483216752,0.001487726483216752,0.001487726483216752,3441624.46064139,0.0,3441624.46064139,3441624.46064139,3441624.46064139,3441624.46064139,3441624.46064139
air_quality_and_pollution,missing_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,0,1,0.8512893463944013,0.0,0.8512893463944013,0.8512893463944013,0.8512893463944013,0.8512893463944013,0.8512893463944013,0.0009433683439746404,0.0,0.0009433683439746404,0.0009433683439746404,0.0009433683439746404,0.0009433683439746404,0.0009433683439746404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3761.2650614770837,0.0,3761.2650614770837,3761.2650614770837,3761.2650614770837,3761.2650614770837,3761.2650614770837
air_quality_and_pollution,missing_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,1,1,0.607271749669651,0.0,0.607271749669651,0.607271749669651,0.607271749669651,0.607271749669651,0.607271749669651,0.002259978564914958,0.0,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.00022880929898384363,0.0,0.00022880929898384363,0.00022880929898384363,0.00022880929898384363,0.00022880929898384363,0.00022880929898384363,17140.805619172115,0.0,17140.805619172115,17140.805619172115,17140.805619172115,17140.805619172115,17140.805619172115
air_quality_and_pollution,missing_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,2,1,0.3942746403694451,0.0,0.3942746403694451,0.3942746403694451,0.3942746403694451,0.3942746403694451,0.3942746403694451,0.002033315633803462,0.0,0.002033315633803462,0.002033315633803462,0.002033315633803462,0.002033315633803462,0.002033315633803462,9.231284569090043e-05,0.0,9.231284569090043e-05,9.231284569090043e-05,9.231284569090043e-05,9.231284569090043e-05,9.231284569090043e-05,4331.344149406721,0.0,4331.344149406721,4331.344149406721,4331.344149406721,4331.344149406721,4331.344149406721
air_quality_and_pollution,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,1,6.469133441280519,0.0,6.469133441280519,6.469133441280519,6.469133441280519,6.469133441280519,6.469133441280519,0.00532448567751692,0.0,0.00532448567751692,0.00532448567751692,0.00532448567751692,0.00532448567751692,0.00532448567751692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22439.042301191275,0.0,22439.042301191275,22439.042301191275,22439.042301191275,22439.042301191275,22439.042301191275
air_quality_and_pollution,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,1,2.136873489255217,0.0,2.136873489255217,2.136873489255217,2.136873489255217,2.136873489255217,2.136873489255217,0.0025189716859067984,0.0,0.0025189716859067984,0.0025189716859067984,0.0025189716859067984,0.0025189716859067984,0.0025189716859067984,0.000578784246284859,0.0,0.000578784246284859,0.000578784246284859,0.000578784246284859,0.000578784246284859,0.000578784246284859,213901.3479505434,0.0,213901.3479505434,213901.3479505434,213901.3479505434,213901.3479505434,213901.3479505434
air_quality_and_pollution,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,1,1.1872406482830953,0.0,1.1872406482830953,1.1872406482830953,1.1872406482830953,1.1872406482830953,1.1872406482830953,0.003033727877985573,0.0,0.003033727877985573,0.003033727877985573,0.003033727877985573,0.003033727877985573,0.003033727877985573,0.00042823843154426544,0.0,0.00042823843154426544,0.00042823843154426544,0.00042823843154426544,0.00042823843154426544,0.00042823843154426544,401486.86392772524,0.0,401486.86392772524,401486.86392772524,401486.86392772524,401486.86392772524,401486.86392772524
air_quality_and_pollution,missing_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,0,1,3.362304676830589,0.0,3.362304676830589,3.362304676830589,3.362304676830589,3.362304676830589,3.362304676830589,0.003105474209025349,0.0,0.003105474209025349,0.003105474209025349,0.003105474209025349,0.003105474209025349,0.003105474209025349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9186.470524851837,0.0,9186.470524851837,9186.470524851837,9186.470524851837,9186.470524851837,9186.470524851837
air_quality_and_pollution,missing_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,1,1,1.3457269975839607,0.0,1.3457269975839607,1.3457269975839607,1.3457269975839607,1.3457269975839607,1.3457269975839607,0.002259978564914958,0.0,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.002259978564914958,0.0005517060201098828,0.0,0.0005517060201098828,0.0005517060201098828,0.0005517060201098828,0.0005517060201098828,0.0005517060201098828,41031.86680071836,0.0,41031.86680071836,41031.86680071836,41031.86680071836,41031.86680071836,41031.86680071836
