dataset,missingness_type,missing_rate,imputation_method,rmse
stock,missing_at_random,6,k_nearest_neighbors_imputation,0.7051564392972606
stock,missing_at_random,5,constant_imputation,6.811250556059944
stock,missing_at_random,5,mean_imputation,2.246511878862
stock,missing_at_random,5,median_imputation,2.660448822773423
stock,missing_at_random,5,k_nearest_neighbors_imputation,0.5734032250766167
stock,missing_at_random,5,mice_imputation,0.7914484925592246
stock,missing_at_random,5,random_forest_imputation,0.45479164397617095
stock,missing_at_random,10,constant_imputation,9.818433180348027
stock,missing_at_random,10,mean_imputation,3.39279391221008
stock,missing_at_random,10,median_imputation,3.7849395693801573
stock,missing_at_random,10,k_nearest_neighbors_imputation,1.1425381886076722
stock,missing_at_random,10,mice_imputation,1.4700991532777088
stock,missing_at_random,10,random_forest_imputation,1.1140825525639833
stock,missing_at_random,25,constant_imputation,16.685630384567716
stock,missing_at_random,25,mean_imputation,5.589128854680314
stock,missing_at_random,25,median_imputation,5.58657849525322
stock,missing_at_random,25,k_nearest_neighbors_imputation,3.9258759622726362
stock,missing_at_random,25,mice_imputation,4.131555574113497
stock,missing_at_random,25,random_forest_imputation,3.8825233089929094
stock,missing_at_random,15,k_nearest_neighbors_imputation,2.2231321442101755
stock,missing_at_random,20,k_nearest_neighbors_imputation,3.064637970559417
stock,missing_at_random,8,k_nearest_neighbors_imputation,0.9394525497556356
stock,missing_at_random,30,k_nearest_neighbors_imputation,5.145400965570247
stock,missing_at_random,40,k_nearest_neighbors_imputation,6.49305005941538
stock,missing_not_at_random,1,k_nearest_neighbors_imputation,0.3379023063674958
stock,missing_not_at_random,2,k_nearest_neighbors_imputation,0.8012440122624848
stock,missing_not_at_random,3,k_nearest_neighbors_imputation,0.5848307291912488
stock,missing_not_at_random,5,constant_imputation,6.533070813513808
stock,missing_not_at_random,5,mean_imputation,3.2353639419993496
stock,missing_not_at_random,5,median_imputation,3.195271600257982
stock,missing_not_at_random,5,k_nearest_neighbors_imputation,1.2501102534222734
stock,missing_not_at_random,5,mice_imputation,1.4885835038563393
stock,missing_not_at_random,5,random_forest_imputation,1.0636436473466115
stock,missing_not_at_random,4,k_nearest_neighbors_imputation,1.1613691644675643
stock,missing_not_at_random,6,k_nearest_neighbors_imputation,1.2719946520079564
stock,missing_not_at_random,8,k_nearest_neighbors_imputation,2.6873195464297006
stock,missing_not_at_random,20,k_nearest_neighbors_imputation,4.872898479280706
stock,missing_not_at_random,15,k_nearest_neighbors_imputation,2.8360753834573966
stock,missing_not_at_random,10,constant_imputation,13.73671768707452
stock,missing_not_at_random,10,mean_imputation,3.829314642811927
stock,missing_not_at_random,10,median_imputation,3.882036807328119
stock,missing_not_at_random,10,k_nearest_neighbors_imputation,2.240083303099191
stock,missing_not_at_random,10,mice_imputation,2.1118419221642815
stock,missing_not_at_random,10,random_forest_imputation,2.060691065469344
stock,missing_not_at_random,25,constant_imputation,20.383522358312188
stock,missing_not_at_random,25,mean_imputation,9.652232326526658
stock,missing_not_at_random,25,median_imputation,9.280453972448592
stock,missing_not_at_random,25,k_nearest_neighbors_imputation,9.470536373706047
stock,missing_not_at_random,25,mice_imputation,9.442978358386673
stock,missing_not_at_random,25,random_forest_imputation,8.812097941822225
stock,missing_not_at_random,40,k_nearest_neighbors_imputation,11.306421870859436
stock,missing_not_at_random,30,k_nearest_neighbors_imputation,8.396560519009121
rmftsa_ladata,missing_completely_at_random,2,k_nearest_neighbors_imputation,0.6469292814525829
rmftsa_ladata,missing_completely_at_random,1,k_nearest_neighbors_imputation,0.4663754302757863
rmftsa_ladata,missing_completely_at_random,4,k_nearest_neighbors_imputation,1.068148334033284
rmftsa_ladata,missing_completely_at_random,3,k_nearest_neighbors_imputation,0.8920158546625812
rmftsa_ladata,missing_completely_at_random,5,constant_imputation,19.739123713088937
rmftsa_ladata,missing_completely_at_random,5,mean_imputation,2.3213830979090924
rmftsa_ladata,missing_completely_at_random,5,median_imputation,2.381565777210678
rmftsa_ladata,missing_completely_at_random,5,k_nearest_neighbors_imputation,1.215260453699545
rmftsa_ladata,missing_completely_at_random,5,mice_imputation,1.3605993358213981
rmftsa_ladata,missing_completely_at_random,5,random_forest_imputation,1.0071370452751092
rmftsa_ladata,missing_completely_at_random,8,k_nearest_neighbors_imputation,1.732286542491568
