dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,wasserstein_distance,bottleneck_distance
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.6087205105728388,0.02493681334991904
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.18224885322183282,0.0061384247712399365
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.7093581147734371,0.008752430514596843
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.12163415344165716,0.004772896296917684
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.008189402628916192,0.001356725180331253
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,8.520486552112204e-05,8.18320650323185e-05
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,6.338253268166355,0.031966454340017325
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,1.3385458779217994,0.02026492829082749
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,0.402441626033922,0.011444759331591753
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,1.235449384386703,0.008310977528121877
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.16075868489876888,0.006574796181508746
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.014314319346810878,0.004121460493972912
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,0.0004446915329916788,0.0002583422845555787
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,7.028984738005617e-10,4.970242767701749e-10
rmftsa_ladata,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,2.0250429278265023,0.01639829214357884
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.8681879985812625,0.013622345950349307
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.2701232472171917,0.007710333630073646
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.9972693282390096,0.009423838741081256
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.14935705856987122,0.004887442499850125
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.012170853211309784,0.0016074083207810869
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,0.00012225405539852827,6.696308676704989e-05
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
rmftsa_ladata,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
treasury,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.0067852436930446475,0.002151451000365307
treasury,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,8.679129516279804e-06,4.5676461068906715e-06
treasury,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.0,0.0
treasury,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,0.017819634377824318,0.0007860001053516669
treasury,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.0006883551712880084,0.0002716942277424688
treasury,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.00010199720266534278,7.212291366672234e-05
treasury,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,0,5.1809744479989814e-05,6.700687902529319e-06
treasury,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
treasury,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
treasury,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.016251426014029832,0.0029600873522422685
treasury,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,1.1169880356086347e-05,5.111599181768789e-06
treasury,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.0,0.0
treasury,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,0.03449685527284739,0.0007864992164167903
treasury,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.0006962174589591683,0.00027170865517169495
treasury,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.00010189959689516775,7.205389596474866e-05
treasury,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,0.0001035677570362747,1.4467104656509637e-05
treasury,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.0,0.0
treasury,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,0.0,0.0
treasury,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,0.10556016522262371,0.0007864898580843202
treasury,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,0.0016713139369022483,0.0002719090794587823
treasury,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,7.774988900726169e-05,5.4977473753536074e-05
